Title,URL,Description,Highlight,Sentiment Score
Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,https://www.zacks.com/stock/news/2353499/honeywell-international-inc-hon-laps-the-stock-market-heres-why?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v3-2353499,"In the most recent trading session, Honeywell International Inc. (HON) closed at $222.02, indicating a +1.13% shift from the previous trading day.",Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,0.0
Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,https://www.zacks.com/stock/news/2353499/honeywell-international-inc-hon-laps-the-stock-market-heres-why?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v3-2353499,"In the most recent trading session, Honeywell International Inc. (HON) closed at $222.02, indicating a +1.13% shift from the previous trading day.",Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,0.0
Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,https://www.zacks.com/stock/news/2353499/honeywell-international-inc-hon-laps-the-stock-market-heres-why?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v3-2353499,"In the most recent trading session, Honeywell International Inc. (HON) closed at $222.02, indicating a +1.13% shift from the previous trading day.",Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,0.0
Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,https://www.zacks.com/stock/news/2353499/honeywell-international-inc-hon-laps-the-stock-market-heres-why?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v3-2353499,"In the most recent trading session, Honeywell International Inc. (HON) closed at $222.02, indicating a +1.13% shift from the previous trading day.",Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,0.0
Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,https://www.zacks.com/stock/news/2353499/honeywell-international-inc-hon-laps-the-stock-market-heres-why?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v3-2353499,"In the most recent trading session, Honeywell International Inc. (HON) closed at $222.02, indicating a +1.13% shift from the previous trading day.",Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,0.0
Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,https://www.zacks.com/stock/news/2353499/honeywell-international-inc-hon-laps-the-stock-market-heres-why?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v3-2353499,"In the most recent trading session, Honeywell International Inc. (HON) closed at $222.02, indicating a +1.13% shift from the previous trading day.",Honeywell International Inc. (HON) Laps the Stock Market: Here's Why,0.0
U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09% By Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-009-3671664,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09%,"Meanwhile, Apple Inc (NASDAQ: ) added 1.23% or 2.85 points to end at 235.00 and Honeywell International Inc (NASDAQ: ) was up 1.13% or 2.47 points to 222.02 in late trade. The worst performers of the session were American Express Company (NYSE: ), which fell 3.15% or 8.99 points to trade at 276.79 at the close.",-0.6249
U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09% By Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-009-3671664,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09%,"Shares in Apple Inc (NASDAQ: ) rose to all time highs; up 1.23% or 2.85 to 235.00. Shares in Honeywell International Inc (NASDAQ: ) rose to 52-week highs; gaining 1.13% or 2.47 to 222.02. Shares in TuHURA Biosciences Inc (NASDAQ: ) rose to 52-week highs; gaining 2,824.79% or 6.08 to 6.30.",0.8807
U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09% By Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-009-3671664,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09%,"The best performers of the session on the were Intel Corporation (NASDAQ: ), which rose 1.47% or 0.33 points to trade at 22.77 at the close. Meanwhile, Apple Inc (NASDAQ: ) added 1.23% or 2.85 points to end at 235.00 and Honeywell International Inc (NASDAQ: ) was up 1.13% or 2.47 points to 222.02 in late trade.",0.6369
U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09% By Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-higher-at-close-of-trade-dow-jones-industrial-average-up-009-3671664,U.S. stocks higher at close of trade; Dow Jones Industrial Average up 0.09%,Shares in Intuitive Surgical Inc (NASDAQ: ) rose to 5-year highs; rising 10.00% or 47.37 to 521.10. Shares in Apple Inc (NASDAQ: ) rose to all time highs; up 1.23% or 2.85 to 235.00. Shares in Honeywell International Inc (NASDAQ: ) rose to 52-week highs; gaining 1.13% or 2.47 to 222.02.,0.8126
