Title,URL,Description,Highlight,Sentiment Score
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"ET: Existing Home Sales Before the bell: Vertiv (VRT), Boeing (BA), AT & T (T), Coca-Cola (KO), GE Vernova (GEV), Thermo Fisher Scientific (TMO), <em>Boston</em> <em>Scientific</em> (BSX), General Dynamics (GD), Hilton (HLT) After the bell: Tesla (TSLA), Lam Research (LRCX), International Business Machines (IBM), Newmont Mining (NEM), ServiceNow (NOW), Viking Therapeutics",0.2732
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"On Monday, we bought more shares of Modelo and Corona brewer <em>Constellation</em> <em>Brands</em> . On Tuesday morning, we added to our Advanced Micro Devices position during the first leg of a chip stock sell-off. That afternoon, the second shoe dropped on Dutch semiconductor equipment maker ASML 's disappointing results, and the whole sector sank further.",0.0679
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"Pacific (UNP), Valero Energy (VLO), Hasbro (HAS), Northrop Grumman (NOC), Ryder System (R) After the bell: DexCom (DXCM), Deckers Brands (DECK), Skechers (SKX), Boyd Gaming (BYD), Edwards Lifesciences (EW), Western Digital (WDC), Boston Beer Company (SAM), Texas Roadhouse (TXRH), Vale (VALE), Capital One Financial (COF) Friday, Oct. 25 Before the bell: <em>New</em>",0.2732
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"<em>York</em> <em>Community</em> <em>Bancorp</em> (NYCB), Colgate-Palmolive (CL), Newell Brands (NWL), AutoNation (AN) (See here for a full list of the stocks in Jim Cramer's Charitable Trust.)",0.4019
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"Week ahead Monday, Oct. 21 After the bell earnings: SAP (SAP), Nucor (NUE), Logitech (LOGI) Tuesday, Oct. 22 Before the bell: Danaher (DHR), Verizon (VZ), <em>General</em> <em>Motors</em> (GM), Freeport-McMoRan (FCX), RTX (RTX), 3M (MMM), GE Aerospace (GE), Lockheed Martin (LMT), Quest Diagnostics (DGX), Fiserv (FI), Philip Morris (PM), Kimberly-Clark (KMB), Norfolk",0
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"Week ahead Monday, Oct. 21 After the bell earnings: SAP (SAP), Nucor (NUE), Logitech (LOGI) Tuesday, Oct. 22 Before the bell: Danaher (DHR), Verizon (VZ), General Motors (GM), Freeport-McMoRan (FCX), RTX (RTX), <em>3M</em> (MMM), GE Aerospace (GE), Lockheed Martin (LMT), Quest Diagnostics (DGX), Fiserv (FI), Philip Morris (PM), Kimberly-Clark (KMB), Norfolk",0
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"ET: New Home Sales Before the bell: Honeywell (HON), Dover (DOV), American Airlines (AAL), United Parcel Service (UPS), Southwest Airlines (LUV), Nasdaq (NDAQ), Tractor Supply Company (TSCO), Carrier Global (CARR), Dow Chemical (DOW), Harley-Davidson (HOG), Union Pacific (UNP), <em>Valero</em> <em>Energy</em> (VLO), Hasbro (HAS), Northrop Grumman (NOC), Ryder System",0.4215
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"ET: New Home Sales Before the bell: Honeywell (HON), Dover (DOV), American Airlines (AAL), United Parcel Service (UPS), Southwest Airlines (LUV), Nasdaq (NDAQ), Tractor Supply Company (TSCO), <em>Carrier</em> <em>Global</em> (CARR), Dow Chemical (DOW), Harley-Davidson (HOG), Union Pacific (UNP), Valero Energy (VLO), Hasbro (HAS), Northrop Grumman (NOC), Ryder System",0.5994
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"Week ahead Monday, Oct. 21 After the bell earnings: SAP (SAP), Nucor (NUE), Logitech (LOGI) Tuesday, Oct. 22 Before the bell: Danaher (DHR), Verizon (VZ), General Motors (GM), Freeport-McMoRan (FCX), RTX (RTX), 3M (MMM), GE Aerospace (GE), <em>Lockheed</em> <em>Martin</em> (LMT), Quest Diagnostics (DGX), Fiserv (FI), Philip Morris (PM), Kimberly-Clark (KMB), Norfolk",0
Here are the 5 things that could move the stock market in the week ahead,https://www.cnbc.com/2024/10/20/here-are-the-5-things-that-could-move-the-stock-market-in-the-week-ahead.html,Earnings drove the stock market higher — can they do it again in the next week?,"ET: Existing Home Sales Before the bell: Vertiv (VRT), Boeing (BA), AT & T (T), Coca-Cola (KO), GE Vernova (GEV), Thermo Fisher Scientific (TMO), Boston Scientific (BSX), General Dynamics (GD), Hilton (HLT) After the bell: Tesla (TSLA), Lam Research (LRCX), International Business Machines (IBM), <em>Newmont</em> Mining (NEM), ServiceNow (NOW), Viking Therapeutics",0.2732
